证券代码,中文简称,英文简称,code_num,ticker_yf
2828,恒生中国企业,HSCEI ETF,2828,2828.HK
2837,ＧＸ恒生科技,GX HS TECH,2837,2837.HK
2858,易鑫集团,YIXIN,2858,2858.HK
2865,钧达股份,DRINDA,2865,2865.HK
2866,中远海发,COSCO SHIP DEV,2866,2866.HK
2869,绿城服务,GREENTOWN SER,2869,2869.HK
2877,神威药业,SHINEWAY PHARM,2877,2877.HK
2880,辽港股份,LIAONING PORT,2880,2880.HK
2883,中海油田服务,CHINA OILFIELD,2883,2883.HK
2888,渣打集团,STANCHART,2888,2888.HK
2889,博泰车联,PATEO,2889,2889.HK
2899,紫金矿业,ZIJIN MINING,2899,2899.HK
3032,恒生科技ＥＴＦ,HSTECH ETF,3032,3032.HK
3033,南方恒生科技,CSOP HS TECH,3033,3033.HK
3037,南方恒指ＥＴＦ,CSOP HSI ETF,3037,3037.HK
3039,易方达恒指ＥＳＧ,EFUNDHSIESG,3039,3039.HK
3040,ＧＸ中国,GX MSCI CHINA,3040,3040.HK
3067,安硕恒生科技,ISHARESHSTECH,3067,3067.HK
3069,华夏恒生生科,CAM HSBIOTECH,3069,3069.HK
3070,平安香港高息,PING AN HKDIV,3070,3070.HK
3088,华夏恒生科技,CAM HS TECH,3088,3088.HK
3110,ＧＸ恒生股息,GX HS HIGHDIV,3110,3110.HK
3115,安硕恒生指数,ISHARESHSI,3115,3115.HK
3167,工银南方中国,ICBCCSOPCHINA,3167,3167.HK
3174,南方恒生生科,CSOP HSBIOTECH,3174,3174.HK
3200,大族数控,HANS CNC,3200,3200.HK
3268,美格智能,MEIG,3268,3268.HK
3288,海天味业,HAITIAN FLAV,3288,3288.HK
3306,江南布衣,JNBY,3306,3306.HK
3311,中国建筑国际,CHINA STATE CON,3311,3311.HK
3317,迅策,XUNCE,3317,3317.HK
3320,华润医药,CHINARES PHARMA,3320,3320.HK
3323,中国建材,CNBM,3323,3323.HK
3328,交通银行,BANKCOMM,3328,3328.HK
3330,灵宝黄金（一百）,LINGBAOGOLD-100,3330,3330.HK
3339,中国龙工,LONKING,3339,3339.HK
3347,泰格医药,TIGERMED,3347,3347.HK
3360,远东宏信,FE HORIZON,3360,3360.HK
3369,秦港股份,QHD PORT,3369,3369.HK
3380,龙光集团,LOGAN GROUP,3380,3380.HK
3393,威胜控股,WASION HOLDINGS,3393,3393.HK
3396,联想控股,LEGENDHOLDING,3396,3396.HK
3403,华夏恒ＥＳＧ,CAM HSI ESG,3403,3403.HK
3423,招商恒生科技,CMS HS TECH,3423,3423.HK
3432,南方港股通,CSOP HKCNCON,3432,3432.HK
3441,南方东西精选,CSOP EWSELECT,3441,3441.HK
3442,南方港美科技,CSOP HKUSTECH,3442,3442.HK
3606,福耀玻璃,FUYAO GLASS,3606,3606.HK
3613,同仁堂国药,TONGRENTANGCM,3613,3613.HK
3618,重庆农村商业银行,CQRC BANK,3618,3618.HK
3633,中裕能源,ZHONGYU ENERGY,3633,3633.HK
3668,兖煤澳大利亚,YANCOAL AUS,3668,3668.HK
3677,正力新能,ZENERGY,3677,3677.HK
3678,弘业期货,HOLLY FUTURES,3678,3678.HK
3690,美团－Ｗ,MEITUAN-W,3690,3690.HK
3692,翰森制药,HANSOH PHARMA,3692,3692.HK
3696,英矽智能,INSILICO,3696,3696.HK
3698,徽商银行,HUISHANG BANK,3698,3698.HK
3738,阜博集团,VOBILE GROUP,3738,3738.HK
3750,宁德时代,CATL,3750,3750.HK
3759,康龙化成,PHARMARON,3759,3759.HK
3800,协鑫科技,GCL TECH,3800,3800.HK
3808,中国重汽,SINOTRUK,3808,3808.HK
3858,佳鑫国际资源,JIAXIN INTL RES,3858,3858.HK
3866,青岛银行,BQD,3866,3866.HK
3868,信义能源,XINYI ENERGY,3868,3868.HK
3877,中国船舶租赁,CSSC SHIPPING,3877,3877.HK
3888,金山软件,KINGSOFT,3888,3888.HK
3896,金山云,KINGSOFT CLOUD,3896,3896.HK
