announcement_date,ref_trading_day,cutoff_trading_days_before,asof_date,asof_calendar_ok,ticker_yf,y_review,in_eligible_universe,row_kind,y_review_code
2022-12-05,2022-12-05,5,2022-11-28,True,3866.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3868.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3877.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3888.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3896.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3898.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3899.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3900.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3908.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3918.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3931.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3933.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3939.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3958.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3968.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3969.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3986.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3988.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3993.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3996.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,3998.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,601857.SS,removed,False,event,3
2022-12-05,2022-12-05,5,2022-11-28,True,6030.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6031.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6049.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6055.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6060.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6066.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6069.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6078.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6088.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6090.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6098.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6099.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6110.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6127.HK,no_change,True,eligible_no_change,0
2022-12-05,2022-12-05,5,2022-11-28,True,6160.HK,no_change,True,eligible_no_change,0
