date,index,change_type,ticker,ticker_normalized,company,source_row_id,change_type_raw,index_raw,index_normalization_status,symbol_rank_within_row,is_primary_symbol,symbol_token_raw,ticker_yf_normalized,ticker_parse_status,ticker_yf
2018-09-10,Hang Seng China 50 Index,Exclusion,1186 / 601186,1186.HK / 601186.SH,China Railway Construction Corporation Ltd.,336,Exclusion,Hang Seng China 50 Index,unchanged,2,0,601186.SH,601186.SS,parse_ok,601186.SS
2018-09-10,Hang Seng China 50 Index,Exclusion,6837 / 600837,6837.HK / 600837.SH,"Haitong Securities Co., Ltd.",338,Exclusion,Hang Seng China 50 Index,unchanged,1,1,6837.HK,6837.HK,parse_ok,6837.HK
2018-09-10,Hang Seng China 50 Index,Exclusion,6837 / 600837,6837.HK / 600837.SH,"Haitong Securities Co., Ltd.",338,Exclusion,Hang Seng China 50 Index,unchanged,2,0,600837.SH,600837.SS,parse_ok,600837.SS
2018-09-10,Hang Seng Stock Connect China AH Index Series,Exclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co. Ltd.,458,Exclusion,Hang Seng Stock Connect China AH Index Series,unchanged,1,1,0317.HK,0317.HK,parse_ok,0317.HK
2018-09-10,Hang Seng Stock Connect China AH Index Series,Exclusion,317 / 600685,0317.HK / 600685.SH,CSSC Offshore & Marine Engineering (Group) Co. Ltd.,458,Exclusion,Hang Seng Stock Connect China AH Index Series,unchanged,2,0,600685.SH,600685.SS,parse_ok,600685.SS
2018-09-10,Hang Seng Stock Connect China AH Index Series,Inclusion,1528 / 601828,1528.HK / 601828.SH,Red Star Macalline Group Corporation Ltd.,459,Inclusion,Hang Seng Stock Connect China AH Index Series,unchanged,1,1,1528.HK,1528.HK,parse_ok,1528.HK
2018-09-10,Hang Seng Stock Connect China AH Index Series,Inclusion,1528 / 601828,1528.HK / 601828.SH,Red Star Macalline Group Corporation Ltd.,459,Inclusion,Hang Seng Stock Connect China AH Index Series,unchanged,2,0,601828.SH,601828.SS,parse_ok,601828.SS
2019-03-11,Hang Seng China 50 Index,Exclusion,1336 / 601336,1336.HK / 601336.SH,"New China Life Insurance Co., Ltd.",465,Exclusion,Hang Seng China 50 Index,unchanged,1,1,1336.HK,1336.HK,parse_ok,1336.HK
2019-03-11,Hang Seng China 50 Index,Exclusion,1336 / 601336,1336.HK / 601336.SH,"New China Life Insurance Co., Ltd.",465,Exclusion,Hang Seng China 50 Index,unchanged,2,0,601336.SH,601336.SS,parse_ok,601336.SS
2019-03-11,Hang Seng Stock Connect China AH Index Series,Exclusion,525 / 601333,0525.HK / 601333.SH,Guangshen Railway Co. Ltd.,496,Exclusion,Hang Seng Stock Connect China AH Index Series,unchanged,1,1,0525.HK,0525.HK,parse_ok,0525.HK
